family_size,milk_packets,deliveries,food_waste,old_devices,batteries
5,2,10,250g_500g,2,14
5,4,21,more_1kg,0,13
5,4,6,less_250g,2,3
5,6,21,250g_500g,0,17
3,4,19,more_1kg,0,6
6,3,0,250g_500g,2,4
4,2,16,less_250g,0,0
5,3,17,500g_1kg,2,9
5,5,19,less_250g,1,8
4,1,29,250g_500g,2,5
3,1,12,250g_500g,0,10
3,5,23,500g_1kg,1,10
4,1,4,less_250g,2,13
5,0,0,500g_1kg,2,10
3,0,27,less_250g,2,10
2,2,16,500g_1kg,1,6
6,5,25,500g_1kg,1,6
3,2,25,less_250g,0,15
4,5,0,500g_1kg,1,8
4,2,8,more_1kg,2,13
4,4,15,500g_1kg,1,7
3,4,15,less_250g,0,3
3,1,1,less_250g,2,9
4,3,9,less_250g,2,2
4,4,6,500g_1kg,2,12
5,1,17,500g_1kg,2,13
2,2,13,250g_500g,0,9
4,3,6,250g_500g,2,6
5,1,12,more_1kg,2,3
5,2,11,less_250g,3,7
4,3,3,less_250g,0,8
6,5,21,less_250g,1,11
3,2,17,250g_500g,2,13
4,3,16,more_1kg,1,6
3,1,14,250g_500g,1,12
3,3,3,more_1kg,1,0
2,3,20,250g_500g,2,20
6,3,0,more_1kg,0,13
4,3,14,500g_1kg,2,20
4,1,12,500g_1kg,0,8
5,0,25,less_250g,1,14
5,2,22,less_250g,0,15
4,2,22,250g_500g,3,5
6,5,2,500g_1kg,0,3
4,4,0,250g_500g,1,12
2,2,0,less_250g,1,10
4,4,9,less_250g,3,8
6,3,20,250g_500g,0,15
4,5,26,500g_1kg,3,8
2,5,19,250g_500g,0,4
5,4,13,500g_1kg,0,9
1,5,4,less_250g,2,14
2,2,14,less_250g,3,12
5,3,20,250g_500g,0,0
4,6,27,250g_500g,1,10
6,2,19,more_1kg,2,0
5,2,6,more_1kg,1,8
3,1,9,500g_1kg,1,9
6,1,18,500g_1kg,4,4
1,3,14,more_1kg,1,5
4,3,14,250g_500g,1,0
5,4,21,500g_1kg,2,14
4,3,12,more_1kg,1,7
4,3,12,more_1kg,0,7
3,3,22,250g_500g,2,1
3,2,5,more_1kg,0,11
4,2,30,250g_500g,1,7
4,0,20,more_1kg,1,19
4,5,2,more_1kg,0,11
4,5,21,250g_500g,2,16
4,3,22,less_250g,1,0
5,3,22,less_250g,1,1
3,2,19,less_250g,1,4
4,2,6,more_1kg,0,0
2,5,3,more_1kg,2,7
3,6,16,less_250g,1,7
5,6,14,250g_500g,2,2
4,1,29,more_1kg,0,12
5,3,23,less_250g,1,20
4,3,5,more_1kg,1,10
5,2,25,more_1kg,1,0
3,2,0,500g_1kg,2,5
3,2,2,500g_1kg,1,4
5,4,19,less_250g,1,13
5,3,10,250g_500g,1,12
4,4,30,more_1kg,2,0
4,3,15,500g_1kg,0,7
4,3,18,less_250g,1,5
5,1,21,250g_500g,2,7
5,1,9,less_250g,0,7
3,1,27,less_250g,2,13
5,2,26,500g_1kg,1,10
6,3,18,more_1kg,0,0
4,1,12,less_250g,2,10
4,3,20,less_250g,1,0
2,2,7,less_250g,1,10
3,5,5,500g_1kg,0,5
3,3,12,more_1kg,1,20
3,0,18,500g_1kg,0,10
5,6,8,more_1kg,2,9
2,5,26,250g_500g,1,12
1,4,0,500g_1kg,2,10
3,3,16,more_1kg,0,13
5,3,9,more_1kg,0,10
3,3,13,250g_500g,2,8
4,4,22,500g_1kg,2,13
5,2,12,500g_1kg,3,0
4,4,16,more_1kg,1,16
3,1,26,500g_1kg,1,8
5,3,18,250g_500g,2,8
4,3,6,500g_1kg,2,12
3,2,11,500g_1kg,2,9
4,3,16,250g_500g,2,10
3,3,19,500g_1kg,2,8
6,5,10,250g_500g,3,11
5,4,16,500g_1kg,0,7
3,4,26,500g_1kg,0,13
1,4,19,500g_1kg,2,0
5,4,24,less_250g,0,1
3,2,14,500g_1kg,1,9
4,2,28,less_250g,1,9
1,3,28,more_1kg,2,9
6,2,26,less_250g,3,6
5,2,30,less_250g,0,17
4,2,12,500g_1kg,0,5
4,2,28,250g_500g,0,16
5,6,5,more_1kg,0,10
4,4,8,500g_1kg,2,6
3,4,7,250g_500g,1,7
3,2,12,500g_1kg,2,5
3,3,12,more_1kg,0,9
6,0,22,500g_1kg,1,5
3,2,6,250g_500g,0,3
4,4,27,more_1kg,1,10
5,3,20,250g_500g,2,15
5,1,19,500g_1kg,2,7
2,3,5,less_250g,2,8
4,4,3,500g_1kg,2,4
4,4,14,500g_1kg,2,7
6,3,0,250g_500g,3,10
6,1,0,500g_1kg,1,6
2,6,6,more_1kg,0,0
5,5,5,500g_1kg,2,5
4,4,9,500g_1kg,1,12
4,2,15,500g_1kg,1,10
3,5,29,less_250g,0,3
5,5,24,less_250g,0,11
5,4,0,500g_1kg,2,11
5,5,5,250g_500g,2,9
3,3,14,250g_500g,0,4
6,2,15,250g_500g,1,14
5,5,17,250g_500g,1,9
3,3,15,more_1kg,1,14
4,4,11,less_250g,0,7
5,2,28,less_250g,2,5
5,1,13,more_1kg,1,9
3,2,8,500g_1kg,0,3
5,4,16,more_1kg,1,0
4,3,10,500g_1kg,2,5
4,2,11,more_1kg,0,9
5,1,14,250g_500g,1,13
4,5,7,250g_500g,2,6
4,3,14,more_1kg,1,7
4,1,28,250g_500g,1,6
6,2,8,less_250g,2,13
3,0,17,more_1kg,2,4
4,3,9,250g_500g,0,10
2,1,19,250g_500g,2,6
4,3,19,less_250g,0,5
5,0,7,less_250g,2,5
6,2,6,500g_1kg,1,8
6,4,7,500g_1kg,0,7
3,1,26,less_250g,3,7
5,0,4,less_250g,2,15
4,5,2,500g_1kg,1,17
3,2,4,500g_1kg,0,4
3,4,7,250g_500g,3,13
2,3,14,500g_1kg,2,7
3,1,11,250g_500g,2,8
5,3,19,500g_1kg,0,10
4,1,20,more_1kg,2,9
4,4,5,250g_500g,2,13
5,2,20,more_1kg,3,8
5,5,21,250g_500g,1,7
6,3,7,250g_500g,0,12
3,3,26,250g_500g,1,2
2,4,17,500g_1kg,1,11
6,1,2,more_1kg,1,5
4,1,11,250g_500g,0,16
5,5,6,less_250g,1,10
3,6,10,less_250g,0,0
5,3,12,less_250g,1,11
5,5,15,500g_1kg,1,10
3,6,19,250g_500g,1,12
3,3,22,more_1kg,0,10
4,1,19,250g_500g,0,0
5,3,16,more_1kg,0,6
5,1,10,more_1kg,2,20
5,5,19,less_250g,1,12
2,0,1,250g_500g,0,1
3,2,13,250g_500g,0,10
4,3,17,250g_500g,0,1
2,1,20,more_1kg,2,12
6,6,29,more_1kg,2,15
5,1,21,500g_1kg,2,11
3,5,19,less_250g,2,6
3,4,5,500g_1kg,1,6
3,1,7,more_1kg,1,7
2,5,7,more_1kg,0,11
4,3,9,250g_500g,1,10
4,4,0,more_1kg,1,3
4,2,0,more_1kg,0,11
3,3,25,500g_1kg,0,12
4,4,13,500g_1kg,1,1
3,6,6,500g_1kg,0,12
6,2,11,less_250g,1,10
2,4,18,more_1kg,1,11
3,1,17,500g_1kg,1,0
4,3,14,less_250g,1,1
6,3,11,500g_1kg,2,5
2,4,19,500g_1kg,0,0
4,2,26,250g_500g,0,13
5,2,27,250g_500g,1,6
5,4,13,500g_1kg,0,5
5,3,19,500g_1kg,2,7
5,3,22,more_1kg,1,12
5,0,21,more_1kg,1,10
5,2,0,less_250g,0,1
4,3,24,more_1kg,0,14
4,5,2,500g_1kg,1,8
5,4,16,250g_500g,2,7
5,2,6,500g_1kg,1,1
4,1,21,500g_1kg,2,0
5,3,19,250g_500g,0,4
4,1,13,less_250g,2,10
3,2,12,more_1kg,2,11
4,3,25,500g_1kg,2,10
2,3,10,250g_500g,0,8
4,4,7,more_1kg,2,7
5,1,21,250g_500g,2,2
4,4,19,less_250g,1,9
4,4,5,more_1kg,0,18
4,2,4,less_250g,1,2
3,1,17,less_250g,2,14
6,3,27,500g_1kg,0,6
1,0,9,250g_500g,1,3
6,2,18,less_250g,1,15
2,2,2,500g_1kg,2,8
4,4,22,more_1kg,1,1
3,2,18,less_250g,0,12
4,4,3,less_250g,2,6
3,2,13,250g_500g,1,0
3,2,12,500g_1kg,0,14
5,0,15,less_250g,0,7
5,4,18,250g_500g,2,7
3,6,18,more_1kg,1,12
4,3,22,500g_1kg,2,8
4,0,17,less_250g,1,4
4,5,1,less_250g,0,10
3,3,23,less_250g,1,14
3,2,0,250g_500g,2,11
4,2,20,more_1kg,2,15
5,2,24,250g_500g,0,1
4,5,8,250g_500g,2,18
4,3,12,250g_500g,2,2
6,6,30,less_250g,1,0
5,4,26,500g_1kg,1,11
2,2,16,less_250g,2,15
4,5,2,less_250g,0,2
4,4,6,500g_1kg,1,16
4,6,8,500g_1kg,2,9
6,3,18,500g_1kg,2,7
4,3,9,more_1kg,0,13
1,2,8,500g_1kg,1,8
5,2,11,less_250g,1,8
5,4,19,250g_500g,0,0
5,3,12,more_1kg,2,15
5,3,16,less_250g,1,11
4,2,26,250g_500g,0,0
3,3,15,250g_500g,1,11
5,1,20,500g_1kg,0,3
6,3,13,250g_500g,1,5
4,4,9,more_1kg,0,10
5,2,26,250g_500g,1,14
5,0,18,250g_500g,1,9
3,1,21,more_1kg,1,4
6,6,12,500g_1kg,1,17
4,5,21,more_1kg,2,10
2,5,16,less_250g,1,4
3,6,12,more_1kg,1,11
4,3,16,500g_1kg,1,17
3,4,20,more_1kg,0,9
3,0,4,more_1kg,3,9
5,3,18,more_1kg,1,15
2,3,10,more_1kg,2,1
4,3,30,500g_1kg,2,2
6,2,15,500g_1kg,2,5
4,6,6,less_250g,1,5
4,0,5,more_1kg,1,14
5,2,12,more_1kg,1,10
4,3,12,250g_500g,0,12
5,0,2,500g_1kg,0,10
6,2,3,250g_500g,1,13
2,2,22,more_1kg,2,1
5,2,19,250g_500g,0,3
3,2,19,500g_1kg,3,15
4,4,0,less_250g,2,7
3,3,9,more_1kg,1,4
5,3,20,less_250g,3,7
5,5,19,500g_1kg,1,8
4,3,13,more_1kg,1,11
3,4,17,less_250g,1,0
5,4,21,less_250g,1,8
5,3,17,500g_1kg,2,10
4,3,28,more_1kg,2,12
3,4,16,more_1kg,1,8
4,1,0,less_250g,2,7
1,2,14,less_250g,0,5
2,6,25,more_1kg,1,14
3,2,7,500g_1kg,1,5
3,6,0,less_250g,2,8
5,5,29,250g_500g,2,18
4,3,12,less_250g,2,12
4,2,5,500g_1kg,2,8
4,2,30,less_250g,1,0
5,5,0,250g_500g,0,19
3,4,10,less_250g,3,11
6,3,28,250g_500g,0,3
6,3,26,250g_500g,2,12
5,5,14,less_250g,0,5
4,4,12,500g_1kg,0,11
3,3,7,500g_1kg,0,5
3,3,19,500g_1kg,1,11
4,2,12,500g_1kg,3,5
3,1,30,less_250g,1,9
6,3,16,250g_500g,0,12
1,4,15,250g_500g,1,9
6,3,10,250g_500g,2,3
5,4,16,500g_1kg,1,7
5,3,20,250g_500g,1,0
2,4,6,more_1kg,3,8
5,1,13,250g_500g,2,16
2,2,13,500g_1kg,3,14
6,3,9,more_1kg,3,7
5,1,9,250g_500g,0,6
3,0,19,500g_1kg,0,15
2,1,6,more_1kg,0,0
5,2,18,more_1kg,1,6
4,2,16,less_250g,1,4
3,2,13,500g_1kg,2,5
5,1,5,250g_500g,1,6
5,3,14,500g_1kg,1,3
5,1,23,less_250g,0,13
4,4,0,more_1kg,1,20
3,3,11,more_1kg,0,10
4,2,22,250g_500g,2,11
5,2,17,500g_1kg,0,2
3,4,20,less_250g,2,15
3,2,6,500g_1kg,3,5
3,4,15,less_250g,2,0
4,0,4,more_1kg,0,9
3,3,15,250g_500g,2,12
5,3,25,500g_1kg,1,11
5,4,9,250g_500g,2,10
4,3,17,250g_500g,0,14
2,3,25,less_250g,1,13
4,3,26,more_1kg,0,14
5,5,7,500g_1kg,0,4
4,6,30,less_250g,0,11
5,2,21,500g_1kg,0,4
3,4,12,250g_500g,1,3
2,1,11,250g_500g,0,14
2,2,22,less_250g,1,3
3,2,12,250g_500g,1,5
4,5,27,more_1kg,0,9
4,4,11,500g_1kg,1,15
4,3,17,less_250g,0,7
5,5,7,250g_500g,0,9
2,2,0,250g_500g,1,13
2,4,20,less_250g,1,0
3,1,10,less_250g,1,14
2,4,18,less_250g,0,4
4,1,5,500g_1kg,0,2
3,1,14,250g_500g,1,13
5,4,10,250g_500g,1,6
5,2,9,more_1kg,1,10
4,5,6,500g_1kg,2,5
4,2,16,500g_1kg,1,2
3,3,14,500g_1kg,4,10
2,1,7,250g_500g,2,7
3,3,5,500g_1kg,2,18
3,4,23,250g_500g,1,3
3,4,8,more_1kg,0,16
5,3,13,500g_1kg,2,8
4,4,14,250g_500g,0,13
6,4,3,less_250g,2,16
4,5,0,less_250g,2,8
5,3,12,500g_1kg,0,9
5,3,6,more_1kg,0,8
4,2,3,500g_1kg,2,13
2,0,2,more_1kg,2,3
5,3,23,less_250g,2,6
4,3,5,less_250g,0,9
3,5,13,250g_500g,1,16
3,1,7,500g_1kg,1,10
2,2,14,250g_500g,2,8
4,4,19,more_1kg,3,10
4,1,27,500g_1kg,2,10
5,3,14,500g_1kg,3,9
3,4,13,500g_1kg,3,11
4,1,14,less_250g,1,11
4,3,16,250g_500g,0,13
5,4,19,less_250g,2,5
5,3,0,250g_500g,1,6
5,6,26,500g_1kg,0,16
6,4,15,less_250g,2,16
5,2,21,more_1kg,0,7
3,3,17,more_1kg,1,13
3,3,21,500g_1kg,1,3
4,1,19,more_1kg,0,15
6,3,17,less_250g,2,8
3,3,23,less_250g,1,3
4,2,22,500g_1kg,2,5
4,3,10,500g_1kg,2,12
4,5,8,250g_500g,1,8
5,2,7,more_1kg,3,10
3,1,6,less_250g,1,8
6,3,12,250g_500g,1,2
5,1,19,250g_500g,1,2
4,3,9,500g_1kg,0,8
4,2,27,less_250g,1,12
3,2,0,250g_500g,2,12
4,3,24,more_1kg,1,13
5,4,25,250g_500g,1,10
4,6,22,less_250g,1,11
2,3,2,more_1kg,1,8
5,4,14,less_250g,2,7
4,1,14,250g_500g,0,11
3,4,18,less_250g,0,0
4,4,18,250g_500g,3,11
4,3,14,more_1kg,2,6
4,4,17,500g_1kg,0,12
3,3,10,500g_1kg,1,14
3,2,11,500g_1kg,2,9
5,1,15,250g_500g,2,0
4,1,20,250g_500g,2,2
4,2,20,250g_500g,0,11
5,4,18,less_250g,0,8
4,1,11,more_1kg,3,8
5,5,17,less_250g,0,18
3,5,3,500g_1kg,2,7
3,3,16,250g_500g,0,10
5,2,20,less_250g,1,6
4,3,20,less_250g,0,2
5,3,10,500g_1kg,1,1
4,3,6,250g_500g,2,9
4,1,16,more_1kg,0,11
4,3,30,more_1kg,1,6
3,0,12,less_250g,1,5
3,1,15,500g_1kg,3,13
3,2,17,more_1kg,0,6
5,3,4,less_250g,1,11
3,3,11,250g_500g,3,16
3,6,3,250g_500g,2,2
1,2,16,500g_1kg,1,10
4,5,21,500g_1kg,0,12
3,4,3,500g_1kg,1,8
4,4,16,more_1kg,2,11
4,3,26,500g_1kg,2,11
4,3,10,500g_1kg,1,12
5,1,18,500g_1kg,2,3
3,3,30,less_250g,0,7
3,2,14,less_250g,1,7
2,2,9,250g_500g,1,15
3,3,30,more_1kg,0,10
6,4,4,250g_500g,0,20
4,3,11,250g_500g,1,7
2,1,0,more_1kg,1,5
4,3,21,less_250g,1,3
3,2,19,less_250g,2,16
4,2,17,less_250g,0,10
5,4,25,250g_500g,0,9
3,4,12,500g_1kg,1,6
3,2,5,more_1kg,1,10
5,1,12,250g_500g,1,0
4,3,12,250g_500g,0,3
1,4,13,250g_500g,0,8
2,3,22,250g_500g,0,8
4,2,8,500g_1kg,3,5
3,5,22,250g_500g,2,9
4,2,14,more_1kg,0,0
6,1,10,250g_500g,1,5
4,6,19,250g_500g,2,14
5,3,18,less_250g,0,8
1,2,24,less_250g,0,9
4,1,12,less_250g,1,3
3,4,24,less_250g,0,0
6,2,4,500g_1kg,0,13
2,5,14,250g_500g,0,9
4,4,8,500g_1kg,1,3
4,2,0,250g_500g,1,0
5,3,11,less_250g,2,11
4,6,17,250g_500g,2,0
4,6,8,500g_1kg,3,16
2,3,21,250g_500g,1,16
4,5,16,500g_1kg,1,6
3,0,17,250g_500g,1,19
3,3,25,500g_1kg,3,13
4,2,14,more_1kg,1,14
4,4,19,500g_1kg,0,3
3,4,12,more_1kg,1,2
5,5,13,less_250g,2,9
5,1,15,500g_1kg,2,6
4,4,12,500g_1kg,2,10
3,6,26,250g_500g,2,1
5,6,20,500g_1kg,3,17
3,3,0,500g_1kg,0,3
5,3,18,500g_1kg,1,13
5,3,20,500g_1kg,0,12
3,4,3,more_1kg,1,12
3,2,24,more_1kg,1,10
5,2,18,more_1kg,0,12
3,3,12,more_1kg,2,4
2,1,5,500g_1kg,2,5
2,1,22,500g_1kg,0,10
3,3,13,250g_500g,0,2
4,3,11,500g_1kg,0,9
4,2,19,less_250g,2,0
4,2,14,250g_500g,2,12
3,1,12,500g_1kg,3,11
4,4,22,less_250g,2,8
4,6,0,250g_500g,1,5
4,4,10,less_250g,2,8
5,1,10,250g_500g,1,0
6,2,5,250g_500g,1,9
5,3,12,500g_1kg,0,11
5,4,17,less_250g,0,17
5,2,27,less_250g,1,5
3,2,14,250g_500g,2,0
4,3,10,250g_500g,2,9
5,2,21,500g_1kg,1,8
1,0,27,250g_500g,1,2
2,4,26,500g_1kg,2,13
5,3,17,250g_500g,0,0
5,3,19,500g_1kg,1,4
4,3,2,more_1kg,1,0
5,5,30,250g_500g,1,4
2,1,24,more_1kg,1,2
5,3,8,500g_1kg,1,7
6,6,7,250g_500g,1,11
3,4,0,more_1kg,3,15
3,1,11,250g_500g,1,9
4,3,9,less_250g,1,9
4,4,17,250g_500g,2,10
6,4,21,250g_500g,0,3
2,5,20,less_250g,1,9
5,1,14,more_1kg,2,0
4,4,8,500g_1kg,1,3
4,1,18,less_250g,0,8
4,4,22,250g_500g,0,6
2,1,20,less_250g,0,0
4,5,19,less_250g,1,2
3,5,5,250g_500g,1,5
5,2,19,250g_500g,1,10
4,4,26,250g_500g,0,11
3,2,10,500g_1kg,1,11
3,3,10,250g_500g,1,20
5,5,0,500g_1kg,1,3
3,2,12,250g_500g,3,10
3,3,8,more_1kg,1,0
5,2,11,less_250g,0,10
4,3,11,500g_1kg,1,4
4,4,16,500g_1kg,0,14
2,2,0,250g_500g,0,9
5,3,29,500g_1kg,2,7
4,4,13,500g_1kg,1,6
3,5,4,250g_500g,0,10
2,5,11,250g_500g,0,0
5,4,15,more_1kg,2,4
4,4,18,less_250g,2,13
3,1,26,more_1kg,0,8
4,3,11,less_250g,1,5
4,4,10,more_1kg,1,2
3,2,9,500g_1kg,1,6
3,6,11,more_1kg,1,4
4,0,21,less_250g,1,8
6,3,22,less_250g,1,13
5,4,1,more_1kg,2,7
4,5,9,less_250g,1,3
2,4,23,500g_1kg,0,11
3,4,2,less_250g,0,3
5,2,9,250g_500g,1,9
4,4,12,500g_1kg,1,7
4,3,9,less_250g,2,8
3,2,11,more_1kg,2,2
4,4,18,250g_500g,1,3
4,5,23,250g_500g,3,5
2,0,16,more_1kg,2,7
3,3,14,500g_1kg,2,9
4,1,15,less_250g,1,8
6,4,8,more_1kg,1,10
4,3,16,more_1kg,4,11
5,2,22,less_250g,0,6
3,4,15,less_250g,1,4
4,2,11,more_1kg,1,4
4,4,14,250g_500g,0,8
5,5,12,250g_500g,0,16
5,4,6,500g_1kg,0,8
1,4,26,500g_1kg,1,2
4,3,16,250g_500g,2,11
4,4,11,more_1kg,1,3
4,0,9,250g_500g,0,8
4,3,23,less_250g,0,4
5,0,20,500g_1kg,2,6
6,2,7,less_250g,0,0
5,2,29,250g_500g,0,10
4,3,18,250g_500g,0,11
5,3,13,less_250g,2,11
5,1,22,250g_500g,1,6
6,6,13,500g_1kg,1,6
5,4,15,more_1kg,1,17
4,2,10,500g_1kg,1,3
5,6,19,250g_500g,3,14
4,5,12,250g_500g,1,7
3,3,30,250g_500g,0,16
5,1,27,500g_1kg,2,7
3,3,9,250g_500g,2,10
4,3,23,more_1kg,2,8
3,4,9,less_250g,0,11
5,4,16,more_1kg,1,4
4,1,2,250g_500g,0,10
5,2,9,more_1kg,3,0
5,2,3,more_1kg,1,1
3,2,23,more_1kg,0,12
4,3,14,less_250g,2,5
5,3,6,250g_500g,0,4
3,2,16,250g_500g,1,2
5,5,19,500g_1kg,2,9
4,3,24,less_250g,1,7
3,3,19,250g_500g,1,10
4,3,16,less_250g,1,0
3,2,6,500g_1kg,3,4
3,1,0,500g_1kg,0,10
2,3,7,more_1kg,1,12
5,4,13,more_1kg,0,18
5,4,3,more_1kg,2,2
3,3,11,250g_500g,1,8
5,3,17,500g_1kg,1,13
3,3,14,more_1kg,2,8
4,5,29,more_1kg,0,3
3,0,7,250g_500g,1,7
3,5,16,less_250g,2,10
5,4,11,250g_500g,1,6
6,3,17,500g_1kg,2,10
6,1,14,500g_1kg,1,2
5,2,13,500g_1kg,2,1
4,5,21,more_1kg,1,7
5,2,2,500g_1kg,1,11
6,2,21,less_250g,0,4
3,1,9,more_1kg,1,12
5,3,22,less_250g,1,9
1,0,16,500g_1kg,2,13
4,3,4,less_250g,0,7
2,3,18,more_1kg,1,0
4,0,17,more_1kg,1,15
2,2,16,250g_500g,0,1
4,5,25,less_250g,2,5
3,2,2,250g_500g,1,16
5,5,22,500g_1kg,1,18
3,1,24,less_250g,1,11
4,0,18,500g_1kg,1,14
3,2,20,less_250g,1,3
4,2,19,250g_500g,1,3
5,1,12,250g_500g,0,11
5,4,19,more_1kg,0,6
4,4,16,more_1kg,0,8
5,4,17,500g_1kg,1,7
2,3,21,500g_1kg,1,2
2,5,20,less_250g,2,6
5,1,16,500g_1kg,2,9
6,3,8,500g_1kg,2,4
4,4,6,500g_1kg,1,6
4,3,29,500g_1kg,1,9
4,2,5,500g_1kg,2,2
5,4,11,250g_500g,0,7
6,0,22,less_250g,1,3
2,0,23,250g_500g,1,11
5,3,16,less_250g,1,11
4,4,4,less_250g,1,10
4,3,4,more_1kg,1,8
5,3,28,250g_500g,2,2
4,3,19,less_250g,2,0
4,5,8,500g_1kg,2,3
3,4,17,250g_500g,0,1
3,2,18,more_1kg,0,5
5,4,20,500g_1kg,1,9
5,2,3,less_250g,2,7
5,3,6,less_250g,3,17
6,4,26,250g_500g,2,3
6,1,14,500g_1kg,1,9
